date,Supplemntal Nutrition Assistance Program,Food bank,CalFresh,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,35.0,0.0,34.0,17.0,1,2018,eureka,CA
2018-02-01,0.0,0.0,0.0,18.0,2,2018,eureka,CA
2018-03-01,0.0,0.0,0.0,0.0,3,2018,eureka,CA
2018-04-01,0.0,0.0,29.0,29.5,4,2018,eureka,CA
2018-05-01,0.0,0.0,74.0,0.0,5,2018,eureka,CA
2018-06-01,44.0,0.0,39.0,24.0,6,2018,eureka,CA
2018-07-01,0.0,0.0,0.0,0.0,7,2018,eureka,CA
2018-08-01,0.0,0.0,44.0,0.0,8,2018,eureka,CA
2018-09-01,0.0,0.0,0.0,0.0,9,2018,eureka,CA
2018-10-01,0.0,0.0,0.0,20.0,10,2018,eureka,CA
2018-11-01,36.0,0.0,0.0,0.0,11,2018,eureka,CA
2018-12-01,0.0,31.0,0.0,0.0,12,2018,eureka,CA
2019-01-01,48.61,0.0,37.1,0.0,1,2019,eureka,CA
2019-02-01,0.0,0.0,24.19,0.0,2,2019,eureka,CA
2019-03-01,30.56,0.0,62.9,15.0,3,2019,eureka,CA
2019-04-01,0.0,0.0,35.48,0.0,4,2019,eureka,CA
2019-05-01,0.0,33.33,58.06,0.0,5,2019,eureka,CA
2019-06-01,31.94,0.0,0.0,0.0,6,2019,eureka,CA
2019-07-01,27.78,0.0,0.0,0.0,7,2019,eureka,CA
2019-08-01,0.0,0.0,0.0,0.0,8,2019,eureka,CA
2019-09-01,0.0,13.44,0.0,0.0,9,2019,eureka,CA
2019-10-01,0.0,0.0,0.0,23.0,10,2019,eureka,CA
2019-11-01,0.0,0.0,56.45,33.0,11,2019,eureka,CA
2019-12-01,27.78,0.0,0.0,17.0,12,2019,eureka,CA
2020-01-01,0.0,0.0,0.0,0.0,1,2020,eureka,CA
2020-02-01,0.0,29.87,28.0,22.0,2,2020,eureka,CA
2020-03-01,30.0,31.86,35.0,29.0,3,2020,eureka,CA
2020-04-01,20.0,0.0,33.0,35.0,4,2020,eureka,CA
2020-05-01,20.0,0.0,28.0,50.0,5,2020,eureka,CA
2020-06-01,0.0,25.89,31.0,30.0,6,2020,eureka,CA
2020-07-01,16.0,0.0,0.0,0.0,7,2020,eureka,CA
2020-08-01,0.0,0.0,0.0,15.0,8,2020,eureka,CA
2020-09-01,18.0,0.0,13.0,0.0,9,2020,eureka,CA
2020-10-01,35.0,0.0,27.0,0.0,10,2020,eureka,CA
2020-11-01,26.5,0.0,0.0,25.0,11,2020,eureka,CA
2020-12-01,26.0,53.76,43.0,18.0,12,2020,eureka,CA
2021-01-01,18.0,0.0,49.34,0.0,1,2021,eureka,CA
2021-02-01,19.0,9.5,19.92,11.43,2,2021,eureka,CA
2021-03-01,26.0,0.0,43.64,16.19,3,2021,eureka,CA
2021-04-01,41.0,0.0,0.0,16.19,4,2021,eureka,CA
2021-05-01,28.0,0.0,0.0,36.19,5,2021,eureka,CA
2021-06-01,32.0,0.0,60.72,0.0,6,2021,eureka,CA
2021-07-01,0.0,13.0,43.64,40.0,7,2021,eureka,CA
2021-08-01,18.0,0.0,0.0,46.67,8,2021,eureka,CA
2021-09-01,0.0,0.0,45.54,21.9,9,2021,eureka,CA
2021-10-01,22.0,0.0,56.93,40.95,10,2021,eureka,CA
2021-11-01,30.0,0.0,0.0,55.24,11,2021,eureka,CA
2021-12-01,22.0,0.0,33.0,72.38,12,2021,eureka,CA
2022-01-01,23.45,0.0,54.0,31.57,1,2022,eureka,CA
2022-02-01,49.5,0.0,9.5,46.75,2,2022,eureka,CA
2022-03-01,37.34,15.0,22.0,49.79,3,2022,eureka,CA
2022-04-01,26.92,19.0,36.0,53.43,4,2022,eureka,CA
2022-05-01,26.92,0.0,26.0,32.79,5,2022,eureka,CA
2022-06-01,30.39,19.0,41.0,44.93,6,2022,eureka,CA
2022-07-01,38.21,0.0,34.0,64.36,7,2022,eureka,CA
2022-08-01,0.0,0.0,28.0,35.21,8,2022,eureka,CA
2022-09-01,35.61,17.0,28.0,51.0,9,2022,eureka,CA
2022-10-01,29.53,0.0,41.0,52.21,10,2022,eureka,CA
2022-11-01,23.45,14.0,32.0,68.0,11,2022,eureka,CA
2022-12-01,22.58,13.0,15.0,65.57,12,2022,eureka,CA
2023-01-01,34.74,inf,41.25,273.21,1,2023,eureka,CA
2023-02-01,40.82,inf,38.5,233.75,2,2023,eureka,CA
2023-03-01,41.68,inf,96.25,176.07,3,2023,eureka,CA
2023-04-01,0.0,inf,85.25,236.79,4,2023,eureka,CA
2023-05-01,18.24,inf,90.75,139.64,5,2023,eureka,CA
2023-06-01,0.0,inf,79.75,127.5,6,2023,eureka,CA
2023-07-01,0.0,inf,99.0,182.14,7,2023,eureka,CA
2023-08-01,21.71,inf,96.25,279.29,8,2023,eureka,CA
2023-09-01,32.13,inf,49.5,248.93,9,2023,eureka,CA
2023-10-01,30.39,inf,46.75,261.07,10,2023,eureka,CA
2023-11-01,30.39,inf,63.25,188.21,11,2023,eureka,CA
2023-12-01,17.37,inf,63.25,91.07,12,2023,eureka,CA
2024-01-01,16.5,inf,35.75,200.36,1,2024,eureka,CA
2024-02-01,0.0,inf,104.5,267.14,2,2024,eureka,CA
