date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,72.0,0.0,0.0,31.0,1,2018,tyler longview lufkin   nacogdoches ,TX
2018-02-01,51.0,21.0,0.0,0.0,2,2018,tyler longview lufkin   nacogdoches ,TX
2018-03-01,49.0,0.0,0.0,0.0,3,2018,tyler longview lufkin   nacogdoches ,TX
2018-04-01,32.0,19.0,0.0,0.0,4,2018,tyler longview lufkin   nacogdoches ,TX
2018-05-01,39.0,0.0,0.0,0.0,5,2018,tyler longview lufkin   nacogdoches ,TX
2018-06-01,48.0,20.0,0.0,0.0,6,2018,tyler longview lufkin   nacogdoches ,TX
2018-07-01,55.0,25.0,0.0,44.0,7,2018,tyler longview lufkin   nacogdoches ,TX
2018-08-01,61.0,0.0,0.0,0.0,8,2018,tyler longview lufkin   nacogdoches ,TX
2018-09-01,61.0,19.0,0.0,38.0,9,2018,tyler longview lufkin   nacogdoches ,TX
2018-10-01,54.0,14.0,0.0,0.0,10,2018,tyler longview lufkin   nacogdoches ,TX
2018-11-01,41.0,23.0,0.0,0.0,11,2018,tyler longview lufkin   nacogdoches ,TX
2018-12-01,46.0,17.0,0.0,0.0,12,2018,tyler longview lufkin   nacogdoches ,TX
2019-01-01,81.82,0.0,0.0,24.59,1,2019,tyler longview lufkin   nacogdoches ,TX
2019-02-01,34.55,22.0,14.2,12.3,2,2019,tyler longview lufkin   nacogdoches ,TX
2019-03-01,41.82,12.0,0.0,32.79,3,2019,tyler longview lufkin   nacogdoches ,TX
2019-04-01,47.27,12.0,0.0,0.0,4,2019,tyler longview lufkin   nacogdoches ,TX
2019-05-01,36.36,21.0,0.0,0.0,5,2019,tyler longview lufkin   nacogdoches ,TX
2019-06-01,65.45,20.0,0.0,0.0,6,2019,tyler longview lufkin   nacogdoches ,TX
2019-07-01,61.82,34.0,0.0,29.51,7,2019,tyler longview lufkin   nacogdoches ,TX
2019-08-01,65.45,18.0,43.18,59.02,8,2019,tyler longview lufkin   nacogdoches ,TX
2019-09-01,57.27,21.0,0.0,0.0,9,2019,tyler longview lufkin   nacogdoches ,TX
2019-10-01,38.18,20.0,29.55,37.7,10,2019,tyler longview lufkin   nacogdoches ,TX
2019-11-01,36.36,27.0,0.0,31.15,11,2019,tyler longview lufkin   nacogdoches ,TX
2019-12-01,36.36,25.0,0.0,0.0,12,2019,tyler longview lufkin   nacogdoches ,TX
2020-01-01,40.4,30.0,0.0,0.0,1,2020,tyler longview lufkin   nacogdoches ,TX
2020-02-01,44.08,24.0,0.0,0.0,2,2020,tyler longview lufkin   nacogdoches ,TX
2020-03-01,117.54,31.0,0.0,0.0,3,2020,tyler longview lufkin   nacogdoches ,TX
2020-04-01,89.99,20.0,0.0,47.92,4,2020,tyler longview lufkin   nacogdoches ,TX
2020-05-01,112.03,0.0,0.0,100.88,5,2020,tyler longview lufkin   nacogdoches ,TX
2020-06-01,88.15,20.0,0.0,138.71,6,2020,tyler longview lufkin   nacogdoches ,TX
2020-07-01,86.32,21.0,0.0,88.27,7,2020,tyler longview lufkin   nacogdoches ,TX
2020-08-01,82.64,21.0,0.0,70.62,8,2020,tyler longview lufkin   nacogdoches ,TX
2020-09-01,64.28,25.0,0.0,52.96,9,2020,tyler longview lufkin   nacogdoches ,TX
2020-10-01,93.66,22.0,0.0,22.7,10,2020,tyler longview lufkin   nacogdoches ,TX
2020-11-01,101.01,32.0,0.0,37.83,11,2020,tyler longview lufkin   nacogdoches ,TX
2020-12-01,88.15,14.25,37.08,37.83,12,2020,tyler longview lufkin   nacogdoches ,TX
2021-01-01,113.02,14.25,0.0,30.88,1,2021,tyler longview lufkin   nacogdoches ,TX
2021-02-01,127.15,30.38,0.0,43.75,2,2021,tyler longview lufkin   nacogdoches ,TX
2021-03-01,90.41,18.0,0.0,36.03,3,2021,tyler longview lufkin   nacogdoches ,TX
2021-04-01,79.11,15.75,0.0,36.03,4,2021,tyler longview lufkin   nacogdoches ,TX
2021-05-01,84.76,22.5,0.0,61.76,5,2021,tyler longview lufkin   nacogdoches ,TX
2021-06-01,113.02,0.0,0.0,205.88,6,2021,tyler longview lufkin   nacogdoches ,TX
2021-07-01,113.02,13.5,0.0,144.12,7,2021,tyler longview lufkin   nacogdoches ,TX
2021-08-01,124.32,12.75,0.0,133.82,8,2021,tyler longview lufkin   nacogdoches ,TX
2021-09-01,96.07,0.0,0.0,61.76,9,2021,tyler longview lufkin   nacogdoches ,TX
2021-10-01,96.07,0.0,42.0,97.79,10,2021,tyler longview lufkin   nacogdoches ,TX
2021-11-01,87.59,30.0,0.0,61.76,11,2021,tyler longview lufkin   nacogdoches ,TX
2021-12-01,64.99,14.25,0.0,87.5,12,2021,tyler longview lufkin   nacogdoches ,TX
2022-01-01,34.0,23.01,0.0,20.0,1,2022,tyler longview lufkin   nacogdoches ,TX
2022-02-01,28.5,29.53,0.0,18.0,2,2022,tyler longview lufkin   nacogdoches ,TX
2022-03-01,34.0,29.15,0.0,19.0,3,2022,tyler longview lufkin   nacogdoches ,TX
2022-04-01,32.0,16.88,0.0,27.0,4,2022,tyler longview lufkin   nacogdoches ,TX
2022-05-01,34.0,36.82,0.0,21.0,5,2022,tyler longview lufkin   nacogdoches ,TX
2022-06-01,48.0,41.42,0.0,21.0,6,2022,tyler longview lufkin   nacogdoches ,TX
2022-07-01,45.0,33.75,0.0,18.0,7,2022,tyler longview lufkin   nacogdoches ,TX
2022-08-01,43.0,22.25,0.0,25.0,8,2022,tyler longview lufkin   nacogdoches ,TX
2022-09-01,43.0,19.95,26.0,15.0,9,2022,tyler longview lufkin   nacogdoches ,TX
2022-10-01,34.0,24.55,0.0,14.0,10,2022,tyler longview lufkin   nacogdoches ,TX
2022-11-01,32.0,34.52,0.0,26.0,11,2022,tyler longview lufkin   nacogdoches ,TX
2022-12-01,36.0,19.18,0.0,51.0,12,2022,tyler longview lufkin   nacogdoches ,TX
2023-01-01,36.0,0.0,0.0,19.0,1,2023,tyler longview lufkin   nacogdoches ,TX
2023-02-01,27.0,0.0,0.0,14.0,2,2023,tyler longview lufkin   nacogdoches ,TX
2023-03-01,25.0,0.0,0.0,11.0,3,2023,tyler longview lufkin   nacogdoches ,TX
2023-04-01,23.0,0.0,0.0,7.0,4,2023,tyler longview lufkin   nacogdoches ,TX
2023-05-01,30.0,0.0,0.0,15.0,5,2023,tyler longview lufkin   nacogdoches ,TX
2023-06-01,39.0,0.0,0.0,16.0,6,2023,tyler longview lufkin   nacogdoches ,TX
2023-07-01,38.0,0.0,0.0,12.0,7,2023,tyler longview lufkin   nacogdoches ,TX
2023-08-01,34.0,0.0,0.0,8.0,8,2023,tyler longview lufkin   nacogdoches ,TX
2023-09-01,31.0,0.0,0.0,9.0,9,2023,tyler longview lufkin   nacogdoches ,TX
2023-10-01,30.0,0.0,0.0,9.0,10,2023,tyler longview lufkin   nacogdoches ,TX
2023-11-01,24.0,0.0,0.0,5.0,11,2023,tyler longview lufkin   nacogdoches ,TX
2023-12-01,25.0,0.0,0.0,13.0,12,2023,tyler longview lufkin   nacogdoches ,TX
2024-01-01,22.0,0.0,0.0,11.0,1,2024,tyler longview lufkin   nacogdoches ,TX
2024-02-01,18.0,0.0,0.0,0.0,2,2024,tyler longview lufkin   nacogdoches ,TX
